date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:15:53	4844/4844	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:43%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=21	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear6089.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:53	4864/4864	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:44%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=22	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear7ed3.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:53	4841/4841	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:44%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=23	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear363c.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:53	4826/4826	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:44%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=24	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear0f7b.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:54	4826/4826	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:44%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=25	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyeara3ee.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:54	4853/4853	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:45%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=26	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearc271.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:54	4819/4819	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:45%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=27	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear34bf.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:54	4823/4823	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:45%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=28	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearb1c4.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:55	4858/4858	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:45%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=29	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyeara4ba.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:55	4826/4826	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:46%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=30	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear7728.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:55	4862/4862	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:46%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=31	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearc906.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:55	4829/4829	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:46%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=32	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear4ebb.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:56	4843/4843	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:46%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=33	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyeard9c5.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:56	4833/4833	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:47%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=34	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyearca78.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:56	4836/4836	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:47%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=35	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear2895.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:56	4905/4905	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:47%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=36	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear12e1.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:56	4814/4814	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:47%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=37	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyeard70c.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:57	4804/4804	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:47%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=38	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear6271.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:57	4873/4873	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:48%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=39	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear9541.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:57	4810/4810	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:48%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=40	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyear77de.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
17:15:57	4875/4875	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Dec%202023%2017:15:48%20GMT	http://www.orgmech.co.uk/mechbyyear.php?Year=First&Num=41	D:/VM%20Shared%20folder/org%20chem/www.orgmech.co.uk/mechbyyeardb61.html	(from http://www.orgmech.co.uk/Year.php?&Year=First)
